% Model,Concave Reflector-Parametric Sweep.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 22 2015, 11:47"
% Table,Table 2 - Surface Maximum 1 (actd.p_t)
% Rbar,Dbar,t (µs),Total acoustic pressure field (Pa)
0.28,1.3,2474,81708.66676787935
0.28,1.3,2476,69989.24409858057
0.28,1.3,2477.9999999999995,54262.67144547045
0.28,1.3,2480,34020.130111299906
0.28,1.3,2482,17084.6498732164
0.28,1.3,2484,17236.69603368364
0.28,1.3,2486,38817.05632534484
0.28,1.3,2487.9999999999995,58202.27632925971
0.28,1.3,2490,73323.77479763565
0.28,1.3,2492,83008.71780610202
0.28,1.3,2493.9999999999995,86270.4547335184
0.28,1.3,2496,80773.21529093823
0.28,1.3,2498,74454.3291800964
0.28,1.3,2500,59687.07442205102
0.28,1.5,2450,33239.85027339383
0.28,1.5,2451.9999999999995,48584.41831985206
0.28,1.5,2454,60199.24083524071
0.28,1.5,2456,67740.87886049323
0.28,1.5,2457.9999999999995,71086.78688796454
0.28,1.5,2460,71242.32796585515
0.28,1.5,2462,66169.5768402942
0.28,1.5,2464,56259.30899729875
0.28,1.5,2466,42255.70925545881
0.28,1.5,2467.9999999999995,26751.76421218757
0.28,1.5,2470,17981.072072229515
0.28,1.5,2472,26909.604444647695
0.28,1.5,2474,43630.41071347406
0.28,1.5,2476,57449.31652702873
0.28,1.5,2477.9999999999995,67293.04213395224
0.28,1.5,2480,73694.99193358619
0.28,1.5,2482,75645.54796871061
0.28,1.5,2484,73164.33993243308
0.28,1.5,2486,64737.27282437796
0.28,1.5,2487.9999999999995,51547.7157961182
0.28,1.5,2490,34863.26605755112
0.28,1.5,2492,23336.18108811956
0.28,1.5,2493.9999999999995,19446.757557723817
0.28,1.5,2496,37962.520517827405
0.28,1.5,2498,53700.428101734855
0.28,1.5,2500,65053.865770736455
0.45999999999999996,0.5,2450,19976.508456092524
0.45999999999999996,0.5,2451.9999999999995,20919.53542902309
0.45999999999999996,0.5,2454,20514.870296404242
0.45999999999999996,0.5,2456,18813.34923619723
0.45999999999999996,0.5,2457.9999999999995,15986.949997730708
0.45999999999999996,0.5,2460,12443.168864462237
0.45999999999999996,0.5,2462,12189.436842276778
0.45999999999999996,0.5,2464,12498.431644865128
0.45999999999999996,0.5,2466,15324.63225555715
0.45999999999999996,0.5,2467.9999999999995,17638.428543654005
0.45999999999999996,0.5,2470,18908.586478475092
0.45999999999999996,0.5,2472,19053.544042318725
0.45999999999999996,0.5,2474,18114.414083909203
0.45999999999999996,0.5,2476,16629.34286879578
0.45999999999999996,0.5,2477.9999999999995,14188.381363280063
0.45999999999999996,0.5,2480,12369.069445339623
0.45999999999999996,0.5,2482,12132.133391288382
0.45999999999999996,0.5,2484,11971.678675536306
0.45999999999999996,0.5,2486,12179.115420459362
0.45999999999999996,0.5,2487.9999999999995,12466.046039769728
0.45999999999999996,0.5,2490,13542.252473549312
0.45999999999999996,0.5,2492,15006.196249637316
0.45999999999999996,0.5,2493.9999999999995,18223.740334127684
0.45999999999999996,0.5,2496,20341.469225498768
0.45999999999999996,0.5,2498,21019.569982916906
0.45999999999999996,0.5,2500,20294.917788249833
0.45999999999999996,0.7,2450,18022.245976799637
0.45999999999999996,0.7,2451.9999999999995,17526.244417750782
0.45999999999999996,0.7,2454,16109.281012133415
0.45999999999999996,0.7,2456,14118.692825019407
0.45999999999999996,0.7,2457.9999999999995,14548.588854629594
0.45999999999999996,0.7,2460,14458.332076161507
0.45999999999999996,0.7,2462,16019.421404347071
0.45999999999999996,0.7,2464,17019.64225019004
0.45999999999999996,0.7,2466,17053.16099308221
0.45999999999999996,0.7,2467.9999999999995,16124.845556730546
0.45999999999999996,0.7,2470,15769.24645852485
0.45999999999999996,0.7,2472,18141.359127976208
0.45999999999999996,0.7,2474,19431.028650161432
0.45999999999999996,0.7,2476,19594.877041940552
0.45999999999999996,0.7,2477.9999999999995,18630.44961234267
0.45999999999999996,0.7,2480,16665.3361667489
0.45999999999999996,0.7,2482,14029.595923408338
0.45999999999999996,0.7,2484,13720.865284548812
0.45999999999999996,0.7,2486,13184.084432282005
0.45999999999999996,0.7,2487.9999999999995,12785.896226703015
0.45999999999999996,0.7,2490,14591.86191934975
0.45999999999999996,0.7,2492,16523.805637278994
0.45999999999999996,0.7,2493.9999999999995,17696.700479664803
0.45999999999999996,0.7,2496,17918.735554374787
0.45999999999999996,0.7,2498,17152.52157032614
0.45999999999999996,0.7,2500,15477.195808559587
0.45999999999999996,0.9,2450,17793.92113465565
0.45999999999999996,0.9,2451.9999999999995,19174.741765230352
0.45999999999999996,0.9,2454,19475.12323884376
0.45999999999999996,0.9,2456,18749.592555625633
0.45999999999999996,0.9,2457.9999999999995,17015.030459076865
0.45999999999999996,0.9,2460,16936.662254028928
0.45999999999999996,0.9,2462,16471.25885829255
0.45999999999999996,0.9,2464,15446.981667374614
0.45999999999999996,0.9,2466,14034.69551720719
0.45999999999999996,0.9,2467.9999999999995,14534.197068322685
0.45999999999999996,0.9,2470,16298.559516132325
0.45999999999999996,0.9,2472,17336.54270913474
0.45999999999999996,0.9,2474,17525.88442561161
0.45999999999999996,0.9,2476,16751.478145689438
0.45999999999999996,0.9,2477.9999999999995,16237.966572395717
0.45999999999999996,0.9,2480,16422.318575105568
0.45999999999999996,0.9,2482,16701.74081491024
0.45999999999999996,0.9,2484,16347.172942245894
0.45999999999999996,0.9,2486,15581.620774592557
0.45999999999999996,0.9,2487.9999999999995,15081.967179622616
0.45999999999999996,0.9,2490,14449.963274394428
0.45999999999999996,0.9,2492,14675.761662120265
0.45999999999999996,0.9,2493.9999999999995,16212.095477391895
0.45999999999999996,0.9,2496,18132.047122581866
0.45999999999999996,0.9,2498,19202.51731483801
0.45999999999999996,0.9,2500,19061.416941460022
0.45999999999999996,1.1,2450,12242.107684319213
0.45999999999999996,1.1,2451.9999999999995,13261.173651693243
