1.979,-0.167,0.093,,-0.027377049
2.012,-0.267,0.093,,-0.043770492
2.035,-0.304,0.087,,-0.049836066
2.056,-0.341,0.081,,-0.055901639
2.078,-0.341,0.093,,-0.055901639
2.1,-0.329,0.087,,-0.053934426
2.123,-0.291,0.087,,-0.047704918
2.144,-0.267,0.093,,-0.043770492
2.167,-0.192,0.093,,-0.03147541
2.188,-0.124,0.087,,-0.020327869
2.221,-0.012,0.087,,-0.001967213
2.243,0.068,0.093,,0.011147541
2.265,0.13,0.093,,0.021311475
2.287,0.198,0.087,,0.032459016
2.309,0.26,0.093,,0.042622951
2.331,0.298,0.099,,0.048852459
2.353,0.322,0.087,,0.052786885
2.375,0.335,0.093,,0.054918033
2.397,0.329,0.099,,0.053934426
2.419,0.291,0.087,,0.047704918
2.441,0.26,0.087,,0.042622951
2.468,0.211,0.093,,0.034590164
2.489,0.149,0.087,,0.02442623
2.512,0.087,0.099,,0.014262295
2.533,0.012,0.099,,0.001967213
2.556,-0.074,0.093,,-0.012131148
2.577,-0.136,0.099,,-0.022295082
2.6,-0.211,0.099,,-0.034590164
2.621,-0.273,0.093,,-0.044754098
2.644,-0.304,0.099,,-0.049836066
2.665,-0.316,0.099,,-0.051803279
2.688,-0.322,0.093,,-0.052786885
2.71,-0.291,0.099,,-0.047704918
2.732,-0.273,0.105,,-0.044754098
2.755,-0.236,0.093,,-0.038688525
2.776,-0.161,0.099,,-0.026393443
2.798,-0.099,0.105,,-0.016229508
2.82,-0.025,0.093,,-0.004098361
2.843,0.056,0.093,,0.009180328
2.864,0.124,0.105,,0.020327869
2.897,0.192,0.105,,0.03147541
2.919,0.248,0.093,,0.040655738
2.941,0.291,0.099,,0.047704918
2.963,0.316,0.105,,0.051803279
2.985,0.31,0.099,,0.050819672
3.007,0.298,0.099,,0.048852459
3.034,0.273,0.105,,0.044754098
3.056,0.223,0.093,,0.036557377
3.078,0.186,0.105,,0.030491803
3.1,0.124,0.105,,0.020327869
3.122,0.043,0.099,,0.00704918
3.154,-0.05,0.093,,-0.008196721
3.176,-0.112,0.105,,-0.018360656
3.198,-0.174,0.112,,-0.02852459
3.22,-0.248,0.099,,-0.040655738
3.243,-0.267,0.105,,-0.043770492
3.265,-0.298,0.112,,-0.048852459
3.287,-0.316,0.099,,-0.051803279
3.309,-0.304,0.105,,-0.049836066
3.331,-0.26,0.112,,-0.042622951
3.353,-0.242,0.099,,-0.039672131
3.375,-0.174,0.099,,-0.02852459
3.397,-0.099,0.112,,-0.016229508
3.419,-0.043,0.105,,-0.00704918
3.441,0.037,0.099,,0.006065574
3.463,0.093,0.112,,0.015245902
3.485,0.155,0.105,,0.025409836
3.507,0.205,0.099,,0.033606557
3.529,0.254,0.118,,0.041639344
3.551,0.285,0.112,,0.046721311
3.573,0.291,0.105,,0.047704918
3.61,0.298,0.112,,0.048852459
3.631,0.279,0.118,,0.045737705
3.654,0.236,0.105,,0.038688525
3.676,0.205,0.105,,0.033606557
3.698,0.136,0.118,,0.022295082
3.72,0.062,0.105,,0.010163934
3.743,0.006,0.112,,0.000983607
3.775,-0.099,0.105,,-0.016229508
3.798,-0.161,0.118,,-0.026393443
3.82,-0.223,0.105,,-0.036557377
3.842,-0.26,0.112,,-0.042622951
3.865,-0.291,0.118,,-0.047704918
3.886,-0.304,0.105,,-0.049836066
3.909,-0.285,0.112,,-0.046721311
3.931,-0.242,0.118,,-0.039672131
3.954,-0.223,0.105,,-0.036557377
3.975,-0.167,0.112,,-0.027377049
3.998,-0.105,0.118,,-0.017213115
4.02,-0.05,0.105,,-0.008196721
4.042,0.019,0.112,,0.003114754
4.064,0.099,0.124,,0.016229508
4.097,0.186,0.118,,0.030491803
4.12,0.211,0.112,,0.034590164
4.141,0.254,0.112,,0.041639344
4.164,0.285,0.124,,0.046721311
